
=== FileX Read Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Reading 1000 files of 10240 bytes each...
File test_001.bin: opened:  6829 us, closed:     2 us, I/O:  11719 us, total:  23866 us, speed:   853 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_002.bin: opened:   109 us, closed:     2 us, I/O:   2091 us, total:   7537 us, speed:  4782 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_003.bin: opened:   122 us, closed:     2 us, I/O:   2040 us, total:   7512 us, speed:  4901 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_004.bin: opened:   135 us, closed:     2 us, I/O:   2017 us, total:   7490 us, speed:  4957 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_005.bin: opened:   150 us, closed:     2 us, I/O:   2027 us, total:   7484 us, speed:  4933 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_006.bin: opened:   167 us, closed:     2 us, I/O:   2043 us, total:   7524 us, speed:  4894 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_007.bin: opened:   180 us, closed:     2 us, I/O:   2042 us, total:   7602 us, speed:  4897 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_008.bin: opened:   193 us, closed:     2 us, I/O:   2038 us, total:   7566 us, speed:  4906 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_009.bin: opened:   423 us, closed:     2 us, I/O:  11768 us, total:  23501 us, speed:   849 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_010.bin: opened:   218 us, closed:     2 us, I/O:   2089 us, total:   7668 us, speed:  4786 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_011.bin: opened:   230 us, closed:     2 us, I/O:   2071 us, total:   7649 us, speed:  4828 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_012.bin: opened:   248 us, closed:     2 us, I/O:   2018 us, total:   7628 us, speed:  4955 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_013.bin: opened:   521 us, closed:     2 us, I/O:  11700 us, total:  17609 us, speed:   854 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_014.bin: opened:   271 us, closed:     2 us, I/O:   2068 us, total:   7719 us, speed:  4835 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_015.bin: opened:   288 us, closed:     2 us, I/O:   2030 us, total:   7652 us, speed:  4926 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_016.bin: opened:   318 us, closed:     2 us, I/O:   2084 us, total:   7725 us, speed:  4798 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_017.bin: opened:   523 us, closed:     2 us, I/O:  11614 us, total:  17471 us, speed:   861 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_018.bin: opened:   332 us, closed:     2 us, I/O:   7990 us, total:  13675 us, speed:  1251 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_019.bin: opened:   369 us, closed:     2 us, I/O:   2063 us, total:   7744 us, speed:  4847 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_020.bin: opened:   351 us, closed:     2 us, I/O:   2058 us, total:   7764 us, speed:  4859 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_021.bin: opened:   364 us, closed:     2 us, I/O:   2083 us, total:   7809 us, speed:  4800 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_022.bin: opened:   379 us, closed:     2 us, I/O:   2066 us, total:   7793 us, speed:  4840 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_023.bin: opened:   395 us, closed:     2 us, I/O:   2047 us, total:   7781 us, speed:  4885 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_024.bin: opened:   434 us, closed:     2 us, I/O:   2053 us, total:   7824 us, speed:  4870 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_025.bin: opened:   629 us, closed:     2 us, I/O:  11610 us, total:  17614 us, speed:   861 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_026.bin: opened:   703 us, closed:     2 us, I/O:  11519 us, total:  23502 us, speed:   868 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_027.bin: opened:   449 us, closed:     2 us, I/O:   2069 us, total:   7901 us, speed:  4833 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_028.bin: opened:   462 us, closed:     2 us, I/O:   2064 us, total:   7862 us, speed:  4844 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
