
=== FileX Write Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Writing 1000 files of 10240 bytes each...
File test_001.bin: opened:    30 us, closed:   909 us, I/O:  29644 us, total:  38531 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_002.bin: opened:    47 us, closed:   905 us, I/O:  29155 us, total:  38076 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_003.bin: opened:    57 us, closed:   907 us, I/O:  35385 us, total:  44237 us, speed:   282 KB/s, CRC32: 0xC61C2AA0
File test_004.bin: opened:    70 us, closed:   909 us, I/O:  29559 us, total:  38459 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_005.bin: opened:    87 us, closed:   916 us, I/O:  34799 us, total:  43866 us, speed:   287 KB/s, CRC32: 0xC61C2AA0
File test_006.bin: opened:   101 us, closed:   905 us, I/O:  29163 us, total:  38191 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_007.bin: opened:   114 us, closed:   910 us, I/O:  29275 us, total:  38269 us, speed:   341 KB/s, CRC32: 0xC61C2AA0
File test_008.bin: opened:   127 us, closed:   921 us, I/O:  35426 us, total:  44488 us, speed:   282 KB/s, CRC32: 0xC61C2AA0
File test_009.bin: opened:   141 us, closed:   906 us, I/O:  30147 us, total:  39943 us, speed:   331 KB/s, CRC32: 0xC61C2AA0
File test_010.bin: opened:   152 us, closed:   912 us, I/O:  34981 us, total:  44093 us, speed:   285 KB/s, CRC32: 0xC61C2AA0
File test_011.bin: opened:   164 us, closed:   937 us, I/O:  29206 us, total:  38396 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_012.bin: opened:   180 us, closed:   902 us, I/O:  29408 us, total:  38586 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_013.bin: opened:   194 us, closed:   932 us, I/O:  32204 us, total:  47440 us, speed:   310 KB/s, CRC32: 0xC61C2AA0
File test_014.bin: opened:   209 us, closed:   909 us, I/O:  29018 us, total:  38363 us, speed:   344 KB/s, CRC32: 0xC61C2AA0
File test_015.bin: opened:   220 us, closed:   918 us, I/O:  35139 us, total:  44510 us, speed:   284 KB/s, CRC32: 0xC61C2AA0
File test_016.bin: opened:   256 us, closed:   920 us, I/O:  29368 us, total:  38777 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_017.bin: opened:   253 us, closed:   902 us, I/O:  35676 us, total:  45778 us, speed:   280 KB/s, CRC32: 0xC61C2AA0
File test_018.bin: opened:   260 us, closed:   905 us, I/O:  28898 us, total:  38501 us, speed:   346 KB/s, CRC32: 0xC61C2AA0
File test_019.bin: opened:   278 us, closed:   909 us, I/O:  29095 us, total:  38589 us, speed:   343 KB/s, CRC32: 0xC61C2AA0
File test_020.bin: opened:   288 us, closed:   913 us, I/O:  29316 us, total:  44784 us, speed:   341 KB/s, CRC32: 0xC61C2AA0
File test_021.bin: opened:   300 us, closed:   912 us, I/O:  29517 us, total:  39104 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_022.bin: opened:   317 us, closed:   906 us, I/O:  36044 us, total:  45653 us, speed:   277 KB/s, CRC32: 0xC61C2AA0
File test_023.bin: opened:   330 us, closed:   937 us, I/O:  29048 us, total:  38749 us, speed:   344 KB/s, CRC32: 0xC61C2AA0
File test_024.bin: opened:   339 us, closed:   904 us, I/O:  35176 us, total:  44839 us, speed:   284 KB/s, CRC32: 0xC61C2AA0
File test_025.bin: opened:   374 us, closed:   911 us, I/O:  29656 us, total:  40085 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_026.bin: opened:   372 us, closed:   907 us, I/O:  32397 us, total:  42144 us, speed:   308 KB/s, CRC32: 0xC61C2AA0
File test_027.bin: opened:   383 us, closed:   904 us, I/O:  29001 us, total:  44712 us, speed:   344 KB/s, CRC32: 0xC61C2AA0
File test_028.bin: opened:   399 us, closed:   910 us, I/O:  29183 us, total:  38998 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_029.bin: opened:   410 us, closed:   900 us, I/O:  35324 us, total:  45121 us, speed:   283 KB/s, CRC32: 0xC61C2AA0
File test_030.bin: opened:   419 us, closed:   912 us, I/O:  29627 us, total:  39548 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_031.bin: opened:   432 us, closed:   903 us, I/O:  34887 us, total:  45012 us, speed:   286 KB/s, CRC32: 0xC61C2AA0
File test_032.bin: opened:   452 us, closed:   919 us, I/O:  29084 us, total:  39048 us, speed:   343 KB/s, CRC32: 0xC61C2AA0
File test_033.bin: opened:   459 us, closed:   905 us, I/O:  29606 us, total:  40319 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_034.bin: opened:   475 us, closed:   926 us, I/O:  29528 us, total:  45528 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_035.bin: opened:   491 us, closed:   906 us, I/O:  30308 us, total:  40418 us, speed:   329 KB/s, CRC32: 0xC61C2AA0
File test_036.bin: opened:   504 us, closed:   911 us, I/O:  34965 us, total:  45065 us, speed:   286 KB/s, CRC32: 0xC61C2AA0
File test_037.bin: opened:   519 us, closed:   906 us, I/O:  29273 us, total:  39463 us, speed:   341 KB/s, CRC32: 0xC61C2AA0
File test_038.bin: opened:   528 us, closed:   902 us, I/O:  35512 us, total:  45752 us, speed:   281 KB/s, CRC32: 0xC61C2AA0
File test_039.bin: opened:   548 us, closed:   904 us, I/O:  32641 us, total:  42868 us, speed:   306 KB/s, CRC32: 0xC61C2AA0
File test_040.bin: opened:   556 us, closed:   903 us, I/O:  29017 us, total:  39325 us, speed:   344 KB/s, CRC32: 0xC61C2AA0
File test_041.bin: opened:   570 us, closed:   907 us, I/O:  29599 us, total:  46546 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_042.bin: opened:   578 us, closed:   910 us, I/O:  29410 us, total:  39821 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_043.bin: opened:   596 us, closed:   907 us, I/O:  35570 us, total:  46033 us, speed:   281 KB/s, CRC32: 0xC61C2AA0
File test_044.bin: opened:   608 us, closed:   917 us, I/O:  28898 us, total:  39442 us, speed:   346 KB/s, CRC32: 0xC61C2AA0
File test_045.bin: opened:   621 us, closed:   907 us, I/O:  35089 us, total:  45531 us, speed:   284 KB/s, CRC32: 0xC61C2AA0
File test_046.bin: opened:   639 us, closed:   901 us, I/O:  29326 us, total:  39821 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_047.bin: opened:   654 us, closed:   909 us, I/O:  29575 us, total:  40162 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_048.bin: opened:  6626 us, closed:   915 us, I/O:  30368 us, total:  46929 us, speed:   329 KB/s, CRC32: 0xC61C2AA0
File test_049.bin: opened:   677 us, closed:   904 us, I/O:  29495 us, total:  40851 us, speed:   339 KB/s, CRC32: 0xC61C2AA0
File test_050.bin: opened:   691 us, closed:   904 us, I/O:  35242 us, total:  45870 us, speed:   283 KB/s, CRC32: 0xC61C2AA0
File test_051.bin: opened:   703 us, closed:   918 us, I/O:  29496 us, total:  40224 us, speed:   339 KB/s, CRC32: 0xC61C2AA0
File test_052.bin: opened:   716 us, closed:   900 us, I/O:  38821 us, total:  49612 us, speed:   257 KB/s, CRC32: 0xC61C2AA0
File test_053.bin: opened:   729 us, closed:   899 us, I/O:  28962 us, total:  39716 us, speed:   345 KB/s, CRC32: 0xC61C2AA0
File test_054.bin: opened:   742 us, closed:   907 us, I/O:  35157 us, total:  46007 us, speed:   284 KB/s, CRC32: 0xC61C2AA0
File test_055.bin: opened:   755 us, closed:   920 us, I/O:  29410 us, total:  40218 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_056.bin: opened:   770 us, closed:   908 us, I/O:  29568 us, total:  40483 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_057.bin: opened:   788 us, closed:   909 us, I/O:  29426 us, total:  47219 us, speed:   339 KB/s, CRC32: 0xC61C2AA0
