=== Read Test ===
Filesystem integrity check: OK
Reading 1000 files, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Reading /test_001.bin... opened:  1937 us, closed:     3 us, I/O:   1892 us, total:   8989 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_002.bin... opened:  1886 us, closed:     3 us, I/O:   1892 us, total:   8910 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_003.bin... opened:  1867 us, closed:     3 us, I/O:   1892 us, total:   8923 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_004.bin... opened:  1848 us, closed:     3 us, I/O:   1889 us, total:   8862 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_005.bin... opened:  1871 us, closed:     3 us, I/O:   1889 us, total:   8899 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_006.bin... opened:  1852 us, closed:     3 us, I/O:   1888 us, total:   8881 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_007.bin... opened:  1821 us, closed:     3 us, I/O:   1892 us, total:   8955 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_008.bin... opened:  1781 us, closed:     3 us, I/O:   1888 us, total:   8833 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_009.bin... opened:  1786 us, closed:     3 us, I/O:   1888 us, total:   8855 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_010.bin... opened:  7736 us, closed:     3 us, I/O:   1887 us, total:  14754 us, speed:  5299 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_011.bin... opened:  1778 us, closed:     3 us, I/O:   1884 us, total:   8791 us, speed:  5307 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_012.bin... opened:  1778 us, closed:     3 us, I/O:   1892 us, total:   8834 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_013.bin... opened:  1718 us, closed:     3 us, I/O:   1885 us, total:   8764 us, speed:  5305 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_014.bin... opened:  1714 us, closed:     3 us, I/O:   1921 us, total:   8779 us, speed:  5205 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_015.bin... opened:  1677 us, closed:     3 us, I/O:   1892 us, total:   8751 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_016.bin... opened:  1680 us, closed:     3 us, I/O:   1893 us, total:   8757 us, speed:  5282 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_017.bin... opened:  1693 us, closed:     3 us, I/O:   1891 us, total:   8749 us, speed:  5288 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_018.bin... opened:  1636 us, closed:     3 us, I/O:   1891 us, total:   8711 us, speed:  5288 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_019.bin... opened:  1642 us, closed:     3 us, I/O:   1888 us, total:  14651 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
