=== Write Test ===
Filesystem integrity check: OK
Writing 1000 files, 10240 bytes each, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Writing /test_001.bin... opened:  2689 us, closed: 244957 us, I/O:  90733 us, total: 343288 us, speed:   110 KB/s, CRC32: 0xC61C2AA0
Writing /test_002.bin... opened:   561 us, closed:   329 us, I/O:  99972 us, total: 105811 us, speed:   100 KB/s, CRC32: 0xC61C2AA0
Writing /test_003.bin... opened:   635 us, closed:   350 us, I/O:  90663 us, total:  96567 us, speed:   110 KB/s, CRC32: 0xC61C2AA0
Writing /test_004.bin... opened:   721 us, closed:   365 us, I/O:  97990 us, total: 104025 us, speed:   102 KB/s, CRC32: 0xC61C2AA0
Writing /test_005.bin... opened:   794 us, closed:   376 us, I/O:  83663 us, total:  89784 us, speed:   119 KB/s, CRC32: 0xC61C2AA0
Writing /test_006.bin... opened:   873 us, closed:   400 us, I/O: 102055 us, total: 108228 us, speed:    97 KB/s, CRC32: 0xC61C2AA0
Writing /test_007.bin... opened:   952 us, closed:   420 us, I/O:  90348 us, total:  96625 us, speed:   110 KB/s, CRC32: 0xC61C2AA0
Writing /test_008.bin... opened:  1037 us, closed:   434 us, I/O:  86732 us, total:  93111 us, speed:   115 KB/s, CRC32: 0xC61C2AA0
Writing /test_009.bin... opened:  1129 us, closed:   443 us, I/O:  98552 us, total: 105055 us, speed:   101 KB/s, CRC32: 0xC61C2AA0
Writing /test_010.bin... opened:  1324 us, closed:   441 us, I/O: 100264 us, total: 106930 us, speed:    99 KB/s, CRC32: 0xC61C2AA0
Writing /test_011.bin... opened:  1392 us, closed:   442 us, I/O:  87497 us, total:  94265 us, speed:   114 KB/s, CRC32: 0xC61C2AA0
Writing /test_012.bin... opened:  1444 us, closed:   437 us, I/O:  88237 us, total:  95102 us, speed:   113 KB/s, CRC32: 0xC61C2AA0
Writing /test_013.bin... opened:  1518 us, closed:   435 us, I/O: 102782 us, total: 109666 us, speed:    97 KB/s, CRC32: 0xC61C2AA0
Writing /test_014.bin... opened:  1569 us, closed:   439 us, I/O:  80102 us, total:  87032 us, speed:   124 KB/s, CRC32: 0xC61C2AA0
Writing /test_015.bin... opened:  1626 us, closed:  6370 us, I/O:  79084 us, total:  92031 us, speed:   126 KB/s, CRC32: 0xC61C2AA0
Writing /test_016.bin... opened:  1695 us, closed:   442 us, I/O:  95352 us, total: 102402 us, speed:   104 KB/s, CRC32: 0xC61C2AA0
Writing /test_017.bin... opened:  1772 us, closed:   438 us, I/O:  79499 us, total:  86638 us, speed:   125 KB/s, CRC32: 0xC61C2AA0
Writing /test_018.bin... opened:  1986 us, closed:   445 us, I/O:  79842 us, total:  93171 us, speed:   125 KB/s, CRC32: 0xC61C2AA0
Writing /test_019.bin... opened:  2065 us, closed:   443 us, I/O:  96550 us, total: 103988 us, speed:   103 KB/s, CRC32: 0xC61C2AA0
Writing /test_020.bin... opened:  2089 us, closed:   437 us, I/O:  87337 us, total: 100772 us, speed:   114 KB/s, CRC32: 0xC61C2AA0
Writing /test_021.bin... opened:  2151 us, closed:   437 us, I/O:  87372 us, total: 100869 us, speed:   114 KB/s, CRC32: 0xC61C2AA0
Writing /test_022.bin... opened:  8058 us, closed:   441 us, I/O:  79498 us, total:  92919 us, speed:   125 KB/s, CRC32: 0xC61C2AA0
Writing /test_023.bin... opened:  2267 us, closed:   437 us, I/O: 102006 us, total: 115629 us, speed:    98 KB/s, CRC32: 0xC61C2AA0
Writing /test_024.bin... opened:  2328 us, closed:   440 us, I/O:  91267 us, total:  98973 us, speed:   109 KB/s, CRC32: 0xC61C2AA0
Writing /test_025.bin... opened:  2442 us, closed:   432 us, I/O:  98855 us, total: 106665 us, speed:   101 KB/s, CRC32: 0xC61C2AA0
Writing /test_026.bin... opened:  2595 us, closed:   414 us, I/O:  84744 us, total:  92704 us, speed:   118 KB/s, CRC32: 0xC61C2AA0
