
=== YAFFS2 Write Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Writing 1000 files of 10240 bytes each...
File /test_001.bin: opened:  2300 us, closed:     5 us, I/O:  14735 us, total:  22095 us, speed:   678 KB/s, CRC32: 0xC61C2AA0
File /test_002.bin: opened:  2035 us, closed:     5 us, I/O:  14939 us, total:  22055 us, speed:   669 KB/s, CRC32: 0xC61C2AA0
File /test_003.bin: opened:  2018 us, closed:     8 us, I/O:  20975 us, total:  28076 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_004.bin: opened:  1998 us, closed:     6 us, I/O:  16572 us, total:  23631 us, speed:   603 KB/s, CRC32: 0xC61C2AA0
File /test_005.bin: opened:  2018 us, closed:     5 us, I/O:  14867 us, total:  21918 us, speed:   672 KB/s, CRC32: 0xC61C2AA0
File /test_006.bin: opened:  2055 us, closed:     5 us, I/O:  14913 us, total:  22051 us, speed:   670 KB/s, CRC32: 0xC61C2AA0
File /test_007.bin: opened:  2036 us, closed:     5 us, I/O:  20890 us, total:  28000 us, speed:   478 KB/s, CRC32: 0xC61C2AA0
File /test_008.bin: opened:  2057 us, closed:     9 us, I/O:  16633 us, total:  23809 us, speed:   601 KB/s, CRC32: 0xC61C2AA0
File /test_009.bin: opened:  2023 us, closed:     5 us, I/O:  14935 us, total:  22032 us, speed:   669 KB/s, CRC32: 0xC61C2AA0
File /test_010.bin: opened:  2045 us, closed:     5 us, I/O:  14957 us, total:  22081 us, speed:   668 KB/s, CRC32: 0xC61C2AA0
File /test_011.bin: opened:  2038 us, closed:     5 us, I/O:  20956 us, total:  28024 us, speed:   477 KB/s, CRC32: 0xC61C2AA0
File /test_012.bin: opened:  2010 us, closed:     5 us, I/O:  16644 us, total:  23846 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_013.bin: opened:  2039 us, closed:     5 us, I/O:  14955 us, total:  22061 us, speed:   668 KB/s, CRC32: 0xC61C2AA0
File /test_014.bin: opened:  2016 us, closed:     5 us, I/O:  14971 us, total:  22081 us, speed:   667 KB/s, CRC32: 0xC61C2AA0
File /test_015.bin: opened:  2036 us, closed:     5 us, I/O:  20976 us, total:  28112 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_016.bin: opened:  2034 us, closed:     5 us, I/O:  16611 us, total:  23723 us, speed:   602 KB/s, CRC32: 0xC61C2AA0
File /test_017.bin: opened:  2039 us, closed:     9 us, I/O:  14937 us, total:  22055 us, speed:   669 KB/s, CRC32: 0xC61C2AA0
File /test_018.bin: opened:  2067 us, closed:     6 us, I/O:  14955 us, total:  22154 us, speed:   668 KB/s, CRC32: 0xC61C2AA0
File /test_019.bin: opened:  2055 us, closed:     5 us, I/O:  20935 us, total:  28088 us, speed:   477 KB/s, CRC32: 0xC61C2AA0
File /test_020.bin: opened:  2014 us, closed:     5 us, I/O:  16578 us, total:  23676 us, speed:   603 KB/s, CRC32: 0xC61C2AA0
File /test_021.bin: opened:  2016 us, closed:     5 us, I/O:  15049 us, total:  22143 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_022.bin: opened:  2038 us, closed:     5 us, I/O:  15020 us, total:  22160 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_023.bin: opened:  2040 us, closed:     6 us, I/O:  21006 us, total:  28151 us, speed:   476 KB/s, CRC32: 0xC61C2AA0
File /test_024.bin: opened:  2032 us, closed:     5 us, I/O:  16651 us, total:  23751 us, speed:   600 KB/s, CRC32: 0xC61C2AA0
File /test_025.bin: opened:  2047 us, closed:     5 us, I/O:  15080 us, total:  22179 us, speed:   663 KB/s, CRC32: 0xC61C2AA0
